Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
27524599161,"【Bảo hành 6 tháng】Quạt mini Goojodoq làm mát nhanh Turbo Màn hình kỹ thuật số Tốc độ cao 100 vòng/phút,di động, gió mạnh","349,0k",20k+,GoojodoqMall.VN,12%,₫41.880,https://shopee.vn/product/958778013/27524599161,https://s.shopee.vn/3qJA22F0Jz
24818273541,"COMBO GIA ĐÌNH - 2 bịch Giấy vệ sinh Posy 10 cuộn 3 lớp không lõi - có lõi mềm mịn, dễ tan trong nước","139,5k",100k+,GIẤY POSY XÀI MÊ LI,12%,₫16.740,https://shopee.vn/product/1202044690/24818273541,https://s.shopee.vn/6pwlbY3aEa
43508358436,Combo 20 chân gà rút xương tê cay - ĂN CÙNG BÀ TUYẾT M28,"219,0k",100k+,Ăn Cùng Bà Tuyết,14%,₫30.660,https://shopee.vn/product/279658061/43508358436,https://s.shopee.vn/6fdLPF4DZZ
43222203438,Đèn Ngủ Decor Hình Chậu Hoa Dễ Thương Nhiều Màu Có Nút Bấm Tiện Lợi,"9,0k",30k+,Đồ Chơi Huy Hiền,14%,₫1.260,https://shopee.vn/product/1625232572/43222203438,https://s.shopee.vn/7AZc0A2JYg
23244410073,"Ốp Lưng iPhone TPU Silicon Mềm 4 Góc Cao Cấp, Chống Sốc, Bảo Vệ Camera - iP 6/7/8/Plus/X/XS/11/12/13/14/15/16/17/Pro/Max","13,9k",1tr+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,20%,₫2.780,https://shopee.vn/product/89827191/23244410073,https://s.shopee.vn/70GBnr2wtf
26753987726,[LS] Combo 2 Túi Nước Giặt Xả Chanté Cao Cấp 8 Trong 1,"214,0k",200k+,MASAN CONSUMER OFFICIAL,14%,₫29.960,https://shopee.vn/product/987373161/26753987726,https://s.shopee.vn/7VCSOm12sm
18086169596,"Máy cạo râu Enchen Mini 6 lưỡi dao kép mỏng, chống nước IPX7, pin sử dụng đến 2 tháng - BH 12 tháng","229,0k",100k+,Enchen.vn,6%,₫13.740,https://shopee.vn/product/511022077/18086169596,https://s.shopee.vn/7Kt2CT1gDl
23443887689,Xịt mọc tóc Lab on Hair 160ml xịt dưỡng tóc với giấm táo Kích thích mọc tóc Rụng Tóc,"135,0k",500k+,Lab On Hair Official Store ,10%,₫13.500,https://shopee.vn/product/947126326/23443887689,https://s.shopee.vn/7ppInNzmCs
52757072454,"Quạt mini tích điện 2026 Kích thước nhỏ gọn, mát lạnh lâu dài, gió mạnh mẽ, nhẹ nhàng mang theo khi ra ngoài!","58,0k",2k+,Nhà Sách Hà Nội_69,9%,₫5.220,https://shopee.vn/product/1271256990/52757072454,https://s.shopee.vn/7fVsb50PXr
51803066546,Thùng 10 Bịch Khăn giấy Rút Bông Sen Việt 4 lớp treo tường 1100 tờ,"65,0k",7k+,Khăn Giấy Uớt,9%,₫5.850,https://shopee.vn/product/78244347/51803066546,https://s.shopee.vn/5VRO168ewS
7044949931,Quần thể thao nam Max Ultra Short V2 kiểu dáng thể thao có túi khóa sau Coolmate,"149,0k",100k+,Coolmate - Official Store,17%,₫25.330,https://shopee.vn/product/24710134/7044949931,https://s.shopee.vn/5L7xon9IHR
42802509340,"Túi màng bọc thực phẩm chất liệu PE treo tường dạng rút TopGia, tiện lợi, có chun co dãn siêu dai","59,0k",400k+,TopGia HCM,14%,₫8.260,https://shopee.vn/product/729014007/42802509340,https://s.shopee.vn/5q4EPi7OGY
26337641149,"Quạt cầm tay mini làm mát bằng bán dẫn, có chức năng chườm lạnh, sạc USB tiện lợi Quạt mini sò lạnh turbo quạt","39,1k",5k+,Obear Home Store,28%,₫10.960,https://shopee.vn/product/1562517796/26337641149,https://s.shopee.vn/5fkoDP81bX
11575337511,Combo 2 Nước giặt OMO Matic Hương Nước Hoa Comfort 4.1KG (túi),"500,0k",200k+,Unilever - Chăm sóc Gia đình,6%,₫30.000,https://shopee.vn/product/26947756/11575337511,https://s.shopee.vn/6Ah4oK67ae
27611652354,Kem Nghệ Thorakao Giúp Sáng Da Chiết Xuất Nghệ 7g,"51,0k",1tr+,THORAKAO CHÍNH HÃNG   ,12%,₫6.120,https://shopee.vn/product/1345246829/27611652354,https://s.shopee.vn/60Nec16kvd
