Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
16839163776,"Dung Dịch Vệ Sinh Phụ Nữ Intimate ZIAJA Xuất Xứ Ba Lan Giúp Dưỡng Ẩm, Khử Mùi, Se Khít Dung Tích 200ml","206,0k",100k+,Intimate Ziaja Store,9%,₫18.540,https://shopee.vn/product/408810138/16839163776,https://s.shopee.vn/gMPe1CXK8
8143545820,"[CHỐNG NẮNG WATERGEL MỚI] Chống Nắng Phổ Rộng Thoáng Da, Kháng Mọi Tác Động UV Defender SPF 50+ PA++++ Loreal Paris 50ml","319,0k",600k+,L'Oreal Paris Official Store,9%,₫28.710,https://shopee.vn/product/37251933/8143545820,https://s.shopee.vn/qfpqKBtzB
28100658350,JUDYDOLL Phấn bắt sáng tạo khối 4 ô Highlight Contour Palette Tự nhiên Lâu trôi Chống nước 9g,"129,0k",300k+,Judydoll Việt Nam Chính Hãng,16%,₫20.640,https://shopee.vn/product/1146758195/28100658350,https://s.shopee.vn/10zG2dBGeE
51051942606,[NE63] Dép hai quai khóa cài đế cách điệu đúc nguyên khối cao 6cm NESTY,"190,0k",10k+,Nesty Official Store,17%,₫32.300,https://shopee.vn/product/1113586002/51051942606,https://s.shopee.vn/1BIgEwAdJH
29118467747,Serum Vaseline Gluta-Hya Dưỡng Da Sáng Mịn Sau 5 Ngày 300ML (bao bì tùy đợt nhập hàng),"129,0k",200k+,Unilever Chăm Sóc Sắc Đẹp,10%,₫12.900,https://shopee.vn/product/1397276155/29118467747,https://s.shopee.vn/1Lc6RF9zyK
6415343375,Nước cân bằng Caryophy 300ml (Caryophy Portulaca Toner 300ml),"335,0k",100k+,Caryophy Official Store,9%,₫30.150,https://shopee.vn/product/219269566/6415343375,https://s.shopee.vn/1VvWdY9MdN
19695608030,"Thảm nỉ lau chân hình chữ nhật, chùi chân len mềm mịn dày dặn chống trơn trượt hàng chất lượng cao","21,0k",40k+,Shop Hoàng Dũng - Chuyên Sỉ,6%,₫1.260,https://shopee.vn/product/1130579271/19695608030,https://s.shopee.vn/1gEwpr8jIQ
24244237322,"Chiếu MÂY Điều Hòa Thủ Công Cao Cấp - SỢI MÂY CAO CẤP - 5KG/ CHIẾC - Gấp Gọn, Giặt Được, Dùng Mùa Hè","314,0k",10k+,Chăn Ga Gối Đệm HBO ,6%,₫18.840,https://shopee.vn/product/1393810629/24244237322,https://s.shopee.vn/1qYN2A85xT
27481696313,Son Bóng Lifter Gloss cho Đôi Môi Đầy Căng Mọng Kẹo cùng Hyaluronic Acid Maybelline New York 5.4ML,"169,0k",300k+,Maybelline Official Store,9%,₫15.210,https://shopee.vn/product/37252407/27481696313,https://s.shopee.vn/20rnET7ScW
27611652354,Kem Nghệ Thorakao Giúp Sáng Da Chiết Xuất Nghệ 7g,"51,0k",1tr+,THORAKAO CHÍNH HÃNG   ,12%,₫6.120,https://shopee.vn/product/1345246829/27611652354,https://s.shopee.vn/2BBDQm6pHZ
